"sep=,"
wosarticle__ti,wosarticle__py,wosarticle__doc,wosarticle__di,docproject__relevant
Developing integrated explorative and normative scenarios: The case of future land use in a climate-neutral Sweden,2014,680149,http://dx.doi.org/10.1016/j.futures.2014.04.015,Unrated (0)
"Achieving profitable, productive climate-neutral Swedish agriculture",2014,714941,http://dx.doi.org/10.5367/oa.2014.0182,Yes (1)
"Net environmental impacts of low-share wood pellet co-combustion in an existing coal-fired CHP (combined heat and power) production in Helsinki, Finland",2014,717460,http://dx.doi.org/10.1016/j.energy.2014.09.068,Yes (1)
Aerosol radiative forcing from the 2010 Eyjafjallajokull volcanic eruptions,2014,1438732,http://dx.doi.org/10.1002/2014JD021977,Yes (1)
Greening University Campus Buildings to Reduce Consumption and Emission While Fostering Hands-on Inquiry-Based Education,2014,1666263,http://dx.doi.org/10.1016/j.proenv.2014.03.036,Yes (1)
Global energy storage demand for a 100% renewable electricity supply,2014,1855041,http://dx.doi.org/10.1016/j.egypro.2014.01.154,Yes (1)
Climate-neutral Hanseatic City of Anklam,2014,5339757,,Unrated (0)
Climate Policy after Doha: Turning Obstacles into Solutions,2013,67183,http://dx.doi.org/10.14512/gaia.22.2.6,Mixed (3)
Climate-neutrality versus carbon-neutrality for aviation biofuel policy,2013,128181,http://dx.doi.org/10.1016/j.trd.2013.03.013,Yes (1)
The role of forest residues in the accounting for the global warming potential of bioenergy,2013,238347,http://dx.doi.org/10.1111/gcbb.12014,Yes (1)
The use of life cycle assessment for evaluating the sustainability of the Amsterdam water cycle,2013,372071,http://dx.doi.org/10.2166/wcc.2013.007,Yes (1)
Air quality and public health impacts of UK airports. Part II: Impacts and policy assessment,2013,405030,http://dx.doi.org/10.1016/j.atmosenv.2012.10.017,Mixed (3)
"The ""New Urban Europe"": Global Challenges and Local Responses in the Urban Century",2013,497367,http://dx.doi.org/10.1080/09654313.2012.716243,Yes (1)
Time-dependent climate impact of a bioenergy system - methodology development and application to Swedish conditions,2013,574427,http://dx.doi.org/10.1111/gcbb.12031,Yes (1)
N2O fluxes of a bio-energy poplar plantation during a two years rotation period,2013,604278,http://dx.doi.org/10.1111/gcbb.12019,Yes (1)
Efficacy of LEED-certification in reducing energy consumption and greenhouse gas emission for large New York City office buildings,2013,654413,http://dx.doi.org/10.1016/j.enbuild.2013.08.032,Yes (1)
Effects of digestate from anaerobically digested cattle slurry and plant materials on soil microbial community and emission of CO2 and N2O,2013,721227,http://dx.doi.org/10.1016/j.apsoil.2012.09.003,Yes (1)
The contribution of information and communication technologies to the transition towards a climate-neutral society,2013,5339758,,Unrated (0)
The climate-neutral society: Opportunities for change,2013,5339760,,Unrated (0)
The role of local authorities in a transition towards a climate-neutral society,2013,5339761,,Unrated (0)
Towards a climate-neutral society,2013,5339762,,Unrated (0)
Climate change mitigation by recovery of energy from the water cycle: a new challenge for water management,2012,134985,http://dx.doi.org/10.2166/wst.2011.820,Yes (1)
Ways to a Climate Neutral and Energy Efficient Pharmaceutical Manufacturing Facility,2012,186464,,Yes (1)
Towards a climate neutral water cycle,2012,362619,http://dx.doi.org/10.2166/wcc.2012.015,Yes (1)
Biogas from renewable electricity - Increasing a climate neutral fuel supply,2012,648910,http://dx.doi.org/10.1016/j.apenergy.2011.07.024,Yes (1)
Biological treatment options for cyanobacteria metabolite removal - A review,2012,1527376,http://dx.doi.org/10.1016/j.watres.2011.11.018,Yes (1)
Renewable Energy Sources within Urban Areas: Results From European Case Studies,2012,1836259,,Yes (1)
TOWARDS ZERO NET ENERGY AT A COMMUNITY-SCALE LEVEL: CASE STUDY AT UC MERCED,2012,2618075,,Yes (1)
Proceedings of the 9th fib International PhD Symposium in Civil Engineering,2012,5339763,,Unrated (0)
Analytical model for cost optimization of climate-neutrally operated office and administration buildings,2012,5339764,,Unrated (0)
Effects of boreal forest management practices on the climate impact of CO2 emissions from bioenergy,2011,96499,http://dx.doi.org/10.1016/j.ecolmodel.2011.06.021,Unrated (0)
Production of Climate Neutral Energy Carriers by Photosynthesis and Disproportionation of Biomass Components,2011,188763,http://dx.doi.org/10.1002/cite.201100128,Unrated (0)
Usage of Biomass for Energetic Conversion,2011,426569,http://dx.doi.org/10.1002/cite.201100124,Yes (1)
"Climate, history and neutrality as drivers of mammal beta diversity in Europe: insights from multiscale deconstruction",2011,479608,http://dx.doi.org/10.1111/j.1365-2656.2010.01771.x,Unrated (0)
CO2 emissions from biomass combustion for bioenergy: atmospheric decay and contribution to global warming,2011,738095,http://dx.doi.org/10.1111/j.1757-1707.2011.01102.x,Yes (1)
Prospects for producing low carbon transportation fuels from captured CO2 in a climate constrained world,2011,1836451,http://dx.doi.org/10.1016/j.egypro.2011.02.096,Unrated (0)
"""To make emissions transparent"" KBA cooperates with partners on climate change climate-neutral printing",2010,14059,,Mixed (3)
Climate-neutral ecology conferences: just do it!,2010,1541588,http://dx.doi.org/10.1016/j.tree.2009.09.006,Unrated (0)
"A multi-sector Network Approach for an Integrated Local Climate Policy: Think Global, Connect Local (Tilburg, The Netherlands)",2010,1895969,,Yes (1)
"ACHIEVING CLIMATE-POSITIVE, ENERGY-POSITIVE HOMES: 60 YEARS OF NORTHEAST CLIMATE HOUSING",2010,3076966,,Yes (1)
Climate Neutral Campus Newsletter,2010,5339765,http://dx.doi.org/10.1108/ijshe.2010.24911aab.004,Unrated (0)
Parametric study of large-scale production of syngas via high-temperature co-electrolysis,2009,76569,http://dx.doi.org/10.1016/j.ijhydene.2008.12.021,Mixed (3)
"Envisioning carbon capture and storage: expanded possibilities due to air capture, leakage insurance, and C-14 monitoring",2009,156932,http://dx.doi.org/10.1007/s10584-009-9632-0,Yes (1)
"Fischer-Tropsch diesel production in a well-to-wheel perspective: A carbon, energy flow and cost analysis",2009,423826,http://dx.doi.org/10.1016/j.enconman.2009.01.008,Yes (1)
Swedish air travellers and voluntary carbon offsets: towards the co-creation of environmental value?,2009,498896,http://dx.doi.org/10.1080/13683500802220687,Mixed (3)
Life cycle assessment of wood-based heating in Norway,2009,518771,http://dx.doi.org/10.1007/s11367-009-0086-4,Yes (1)
Climate-Neutral Heat Pumps,2009,1511222,,Mixed (3)
Water world,2009,5339766,,Unrated (0)
Methods for determining the biomass content of waste,2008,79322,http://dx.doi.org/10.1177/0734242X07087313,Unrated (0)
Palm oil and the emission of carbon-based greenhouse gases,2008,509148,http://dx.doi.org/10.1016/j.jclepro.2006.07.054,Yes (1)
Hazardous waste incineration in context with carbon dioxide,2008,568468,http://dx.doi.org/10.1177/0734242X07082339,Yes (1)
Process model for the production of syngas via high temperature co-electrolysis,2008,1822503,,Yes (1)
University leaders aim for climate neutrality (American College and University Presidents Climate Commitment (ACUPCC)),2008,3791494,,Unrated (0)
Climate-neutral air conditioners fitted as standard,2008,5339767,,Unrated (0)
Tecklenburg biogas plant: Knife gate valves enable efficient control,2008,5339768,,Unrated (0)
European Union waste management strategy and the importance of biogenic waste,2007,141460,http://dx.doi.org/10.1007/s10163-007-0178-9,Yes (1)
A Norwegian perspective on buildings and climate change,2007,494853,http://dx.doi.org/10.1080/09613210701269438,Yes (1)
Intermittent renewable energy: The only future source of hydrogen?,2007,541248,http://dx.doi.org/10.1016/j.ijhydene.2006.12.008,Yes (1)
Campuses pledge climate neutrality,2007,1400634,,Mixed (3)
Why 4 institutions did not sign up for 'climate neutrality',2007,5339769,,Unrated (0)
The Lüneburg Sustainable University Project in international comparison: An assessment against North American peers,2007,5339770,http://dx.doi.org/10.1108/14676370710823609,Unrated (0)
Global warming and social innovation: the challenge of a climate-neutral society,2005,78629,,Mixed (3)
Life cycle emissions of greenhouse gases associated with burning animal wastes in countries of the European Union,2005,669072,http://dx.doi.org/10.1016/j.jclepro.2003.08.003,Unrated (0)
Alternative motor fuels. Synthetic motor fuels from biomass. Designer-diesel,2005,5339771,,Unrated (0)
Emission factors for combustion of biomass fuels in the pulp and paper mills,2004,622597,,Unrated (0)
"Affiliated societies. The role of biomass in the energy debate. ""Biomass must abandon its niche position""",2004,5339772,,Unrated (0)
Financial incentives for climate neutral energy carriers,2003,1892929,,Yes (1)
"Climate neutral, sustainable liquid and gaseous energy carriers; Integrated assessment and a scheme for implementation",2001,1850126,,Yes (1)
Measuring and offsetting greenhouse gas emissions,2000,1780888,,Yes (1)
Frameworks and communication: Perspectives in tackling the climate change challenge for energy supply,1999,1854004,http://dx.doi.org/10.1016/B978-008043018-8/50082-5,Yes (1)
On the burn-up theory of fast soliton reactors,1998,1312898,http://dx.doi.org/10.1016/S0360-3199(97)00072-4,Mixed (3)
CO2 removal and fixation solar high temperature syngas generation for fuel synthesis,1997,271909,http://dx.doi.org/10.1016/S0196-8904(96)00298-1,Yes (1)
Social discounting of orthogonal capital flow rates,1997,1399644,http://dx.doi.org/10.1016/S0360-3199(96)00215-7,Yes (1)
Liquid fuels from hydrogen and atmospheric CO2 a climate-neutral energy concept,1996,1886094,,Yes (1)
ON THE EVALUATION OF HALOCARBON RADIATIVE FORCING AND GLOBAL WARMING POTENTIALS,1995,564077,http://dx.doi.org/10.1029/94JD02516,Yes (1)
METHANOL AS THE ENERGY VECTOR OF A NEW CLIMATE-NEUTRAL ENERGY SYSTEM,1989,1407068,http://dx.doi.org/10.1016/0360-3199(89)90088-8,Mixed (3)
CLIMATIC HEAT-STRESS AND PERFORMANCE IN THE WINGATE ANAEROBIC TEST,1980,1474962,http://dx.doi.org/10.1007/BF00421623,Unrated (0)
